Comparing out.jpg and out3.jpg
Size: 750x508, Total pixels: 381000
========================================
pixel[2](2,0): img1=1 img2=0 diff=1
pixel[4](4,0): img1=0 img2=1 diff=1
pixel[5](5,0): img1=3 img2=4 diff=1
pixel[6](6,0): img1=7 img2=5 diff=2
pixel[7](7,0): img1=2 img2=4 diff=2
pixel[8](8,0): img1=6 img2=5 diff=1
pixel[11](11,0): img1=5 img2=6 diff=1
pixel[14](14,0): img1=4 img2=3 diff=1
pixel[16](16,0): img1=2 img2=3 diff=1
pixel[17](17,0): img1=5 img2=4 diff=1
pixel[18](18,0): img1=8 img2=6 diff=2
pixel[19](19,0): img1=3 img2=4 diff=1
pixel[20](20,0): img1=1 img2=0 diff=1
pixel[21](21,0): img1=2 img2=0 diff=2
pixel[22](22,0): img1=4 img2=6 diff=2
pixel[23](23,0): img1=12 img2=10 diff=2
pixel[24](24,0): img1=6 img2=7 diff=1
pixel[25](25,0): img1=12 img2=10 diff=2
pixel[29](29,0): img1=3 img2=8 diff=5
pixel[30](30,0): img1=10 img2=3 diff=7
pixel[31](31,0): img1=7 img2=9 diff=2
pixel[32](32,0): img1=5 img2=3 diff=2
pixel[33](33,0): img1=0 img2=1 diff=1
pixel[35](35,0): img1=0 img2=1 diff=1
pixel[38](38,0): img1=0 img2=1 diff=1
pixel[40](40,0): img1=8 img2=6 diff=2
pixel[41](41,0): img1=4 img2=5 diff=1
pixel[42](42,0): img1=2 img2=3 diff=1
pixel[43](43,0): img1=4 img2=3 diff=1
pixel[45](45,0): img1=4 img2=6 diff=2
pixel[46](46,0): img1=5 img2=6 diff=1
pixel[47](47,0): img1=8 img2=5 diff=3
pixel[48](48,0): img1=5 img2=7 diff=2
pixel[49](49,0): img1=11 img2=8 diff=3
pixel[50](50,0): img1=4 img2=3 diff=1
pixel[51](51,0): img1=0 img2=1 diff=1
pixel[52](52,0): img1=0 img2=1 diff=1
pixel[53](53,0): img1=4 img2=3 diff=1
pixel[54](54,0): img1=11 img2=9 diff=2
pixel[55](55,0): img1=6 img2=9 diff=3
pixel[56](56,0): img1=10 img2=11 diff=1
pixel[58](58,0): img1=7 img2=8 diff=1
pixel[59](59,0): img1=4 img2=5 diff=1
pixel[60](60,0): img1=5 img2=1 diff=4
pixel[61](61,0): img1=8 img2=10 diff=2
pixel[62](62,0): img1=0 img2=1 diff=1
pixel[64](64,0): img1=5 img2=7 diff=2
pixel[67](67,0): img1=6 img2=5 diff=1
pixel[68](68,0): img1=5 img2=3 diff=2
pixel[71](71,0): img1=6 img2=3 diff=3
pixel[75](75,0): img1=7 img2=5 diff=2
pixel[76](76,0): img1=3 img2=4 diff=1
pixel[78](78,0): img1=6 img2=3 diff=3
pixel[79](79,0): img1=5 img2=7 diff=2
pixel[81](81,0): img1=6 img2=5 diff=1
pixel[82](82,0): img1=0 img2=1 diff=1
pixel[83](83,0): img1=4 img2=3 diff=1
pixel[86](86,0): img1=3 img2=7 diff=4
pixel[87](87,0): img1=8 img2=7 diff=1
pixel[88](88,0): img1=9 img2=7 diff=2
pixel[89](89,0): img1=4 img2=5 diff=1
pixel[90](90,0): img1=3 img2=4 diff=1
pixel[91](91,0): img1=2 img2=4 diff=2
pixel[92](92,0): img1=1 img2=2 diff=1
pixel[94](94,0): img1=0 img2=1 diff=1
pixel[95](95,0): img1=5 img2=4 diff=1
pixel[97](97,0): img1=3 img2=4 diff=1
pixel[98](98,0): img1=5 img2=4 diff=1
pixel[99](99,0): img1=6 img2=4 diff=2
pixel[100](100,0): img1=2 img2=3 diff=1
pixel[102](102,0): img1=16 img2=12 diff=4
pixel[103](103,0): img1=13 img2=15 diff=2
pixel[104](104,0): img1=10 img2=11 diff=1
pixel[105](105,0): img1=7 img2=8 diff=1
pixel[106](106,0): img1=4 img2=5 diff=1
pixel[108](108,0): img1=12 img2=10 diff=2
pixel[109](109,0): img1=7 img2=10 diff=3
pixel[110](110,0): img1=14 img2=11 diff=3
pixel[111](111,0): img1=9 img2=10 diff=1
pixel[112](112,0): img1=4 img2=5 diff=1
pixel[114](114,0): img1=6 img2=2 diff=4
pixel[115](115,0): img1=7 img2=9 diff=2
pixel[116](116,0): img1=8 img2=9 diff=1
pixel[117](117,0): img1=3 img2=0 diff=3
pixel[118](118,0): img1=7 img2=9 diff=2
pixel[120](120,0): img1=4 img2=3 diff=1
pixel[121](121,0): img1=7 img2=6 diff=1
pixel[122](122,0): img1=3 img2=4 diff=1
pixel[123](123,0): img1=9 img2=7 diff=2
pixel[124](124,0): img1=11 img2=9 diff=2
pixel[125](125,0): img1=4 img2=5 diff=1
pixel[127](127,0): img1=3 img2=5 diff=2
pixel[129](129,0): img1=3 img2=1 diff=2
pixel[130](130,0): img1=4 img2=3 diff=1
pixel[131](131,0): img1=3 img2=4 diff=1
pixel[132](132,0): img1=3 img2=4 diff=1
pixel[138](138,0): img1=4 img2=5 diff=1
pixel[140](140,0): img1=3 img2=2 diff=1
pixel[142](142,0): img1=7 img2=8 diff=1
pixel[143](143,0): img1=8 img2=7 diff=1
========================================
Total different pixels: 357956 / 381000 (93.95%)
